agency,title,description,formats,link,
Ministry for the Environment (MfE),"Total column ozone, Lauder, assimilated series (1978-2013)",Ozone (O3) is a gas that is of interest in two regions of Earth’s atmosphere – at ground level and in the upper atmosphere (stratosphere).,"['API', 'CSV', 'Other Geo']",https://data.govt.nz/dataset/show/4862,
Ministry for the Environment (MfE),Seasonality of PM10 exceedances,Particulate matter 10 micrometres or less in diameter (PM10) in the air comprises solid particles and liquid droplets from both natural and human-made sources.,"['API', 'CSV', 'Other Geo']",https://data.govt.nz/dataset/show/4886,
Ministry for the Environment (MfE),"Nitrogen leached from soil, total, 1990-2012",Nitrogen is an essential nutrient for plant growth.,"['API', 'CSV', 'Other Geo']",https://data.govt.nz/dataset/show/4910,
Land Information New Zealand,"Ferry route polyline (Hydro, 1:4k - 1:22k)",A route in a body of water where a ferry crosses from one shoreline to another.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/5054,
Ministry for the Environment (MfE),Distribution of lodgepole pine 2002–2014,"""The pressure from animal and plant pests is one of the biggest threats to biodiversity in the land environment.","['KML', 'Other Geo']",https://data.govt.nz/dataset/show/5078,
Ministry for the Environment (MfE),Mortality of indigenous tree sp tree fern 2002–2014,"""The rates of death (mortality) of indigenous tree species vary across New Zealand.","['API', 'CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/5102,
Ministry for the Environment (MfE),Freshwater pests: Senegal tea,"""Freshwater plant and animal pests can have significant negative impacts on ecosystem health by reducing indigenous biodiversity through predation and competition, and destabilising aquatic habitats.","['API', 'CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/5126,
Ministry for the Environment (MfE),Freshwater pests: Goldfish,"""Freshwater plant and animal pests can have significant negative impacts on ecosystem health by reducing indigenous biodiversity through predation and competition, and destabilising aquatic habitats.","['API', 'CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/5150,
Ministry for the Environment (MfE),Prediction of wetlands before humans arrived,"""Wetlands support unique biodiversity and provide important services.","['API', 'CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/5174,
Ministry for the Environment (MfE),"Annual average sea surface temperature, 1996",The ocean waters surrounding New Zealand vary in temperature from north to south.,"['KML', 'Other Geo']",https://data.govt.nz/dataset/show/5198,
Ministry for the Environment (MfE),"Annual rainfall Units: percentage of normal, 1978",Annual rainfall is the total accumulated rain over one year.,"['API', 'Other Geo']",https://data.govt.nz/dataset/show/5222,
Ministry for the Environment (MfE),"Annual rainfall Units: percentage of normal, 1998",Annual rainfall is the total accumulated rain over one year.,"['API', 'Other Geo']",https://data.govt.nz/dataset/show/5246,
Ministry for the Environment (MfE),Units: percentage of normal sunshine hours 1983,"""Sunshine is important for our health and recreation, and for the environment.","['API', 'Other Geo']",https://data.govt.nz/dataset/show/5270,
Ministry for the Environment (MfE),"Annual rainfall Units: percentage of normal, 2013",Annual rainfall is the total accumulated rain over one year.,"['API', 'Other Geo']",https://data.govt.nz/dataset/show/5294,
Ministry for the Environment (MfE),"Annual rainfall, 1995","""Annual rainfall is the total accumulated rain over one year.","['API', 'Other Geo']",https://data.govt.nz/dataset/show/5318,
Ministry for the Environment (MfE),Sunshine hours 1977,"""Sunshine is important for our health and recreation, and for the environment.","['API', 'Other Geo']",https://data.govt.nz/dataset/show/5342,
Ministry for the Environment (MfE),"Annual sea surface temperature difference from normal, 2011",The ocean waters surrounding New Zealand vary in temperature from north to south.,"['KML', 'Other Geo']",https://data.govt.nz/dataset/show/5366,
Ministry for the Environment (MfE),Sunshine hours 2013,"""Sunshine is important for our health and recreation, and for the environment.","['API', 'Other Geo']",https://data.govt.nz/dataset/show/5390,
Ministry for the Environment (MfE),"Growing season soil moisture deficit, 1988-1989",Soil moisture is important for plant growth.,"['API', 'Other Geo']",https://data.govt.nz/dataset/show/5414,
Ministry for the Environment (MfE),"Growing season soil moisture deficit, 2008-2009",Soil moisture is important for plant growth.,"['API', 'Other Geo']",https://data.govt.nz/dataset/show/5438,
Ministry for the Environment (MfE),Standardised soil moisture deficit 1995-1996,Soil moisture is important for plant growth.,"['API', 'Other Geo']",https://data.govt.nz/dataset/show/5462,
Ministry for the Environment (MfE),Seamount closures,The location and extent of seamount closures designated in the exclusive economic zone.,"['API', 'CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/5486,
Statistics New Zealand,Age by meshblock (2013 Census),This Data service is a prototype model to enable people to find Statistics NZ data in geographic and other formats.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/5534,
Palmerston North City Council,Sewer Service Lines,Sewer Service Line location data held by Palmerston North City Council.,"['API', 'CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/5558,
Land Information New Zealand,Antarctic Scanned Sounding Sheet Index,This index enables you to identify the freely available georeferenced TIFF images of sounding sheets held by LINZ for the Antarctic (Ross Dependency) coastal area.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/5606,
Land Information New Zealand,Auckland 1946 to NZVD2016 Conversion,The AUK46-NZVD2016 grid enables the conversion of normal-orthometric heights from the Auckland 1946 local vertical datum to the New Zealand Vertical Datum 2016 (NZVD2016).,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/5678,
Land Information New Zealand,"New object points (Hydro, 1:4k - 1:22k)",A new feature specified by the IMO and that affects safety of navigation which cannot adequately be encoded by any existing object class for use in an S-57 data set.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/5702,
Ministry for the Environment (MfE),Type 2 Marine Protected Areas (2016 report),"New Zealand’s four million km2 marine environment is diverse, with a range of coastal habitats and offshore seabed environments.","['API', 'CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/5726,
Ministry for the Environment (MfE),Benthic protection areas (2016 report),"New Zealand’s four million km2 marine environment is diverse, with a range of coastal habitats and offshore seabed environments.","['API', 'CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/5750,
Statistics New Zealand,Territorial Authority 2006,This dataset is the definitive set of territorial authority boundaries for 2006 as defined by the Local Government Commission and/or the territorial authorities themselves but maintained by Statistics New Zealand (the custodian).,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/5774,
Land Information New Zealand,"Weed/Kelp polygon (Hydro, 1:90k - 1:350k)",Seaweed is the general name for marine plants of the Algae class which grow in long narrow ribbons.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/5822,
Wellington City Council,Wellington City 5m Contours (2004),5m contours for rural and urban Wellington.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/850,
Landcare Research,North Island Soilscapes,"Soilscapes are defined as ""a landscape unit including a limited number of soil classes that are geographically distributed according to an identifiable pattern"".","['API', 'CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/874,
Department of Conservation,Kiore distribution in Northland (1 July 2007),This dataset represents the terrestrial distribution of Kiore (Rattus exulans) in Northland as at 1 July 2007.,"['CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/946,
Wellington City Council,Wellington City Aerial Imagery (1996),Black and white orthophotography flown 19 April 1996 for Wellington City urban areas.,"['KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/994,
Wellington City Council,Wellington City Dog Exercise Area,Dog control areas based on Wellington City Council Dog Policy 2009.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1138,
Landcare Research,"NZLRI South Island, Edition 2 (all attributes)",The New Zealand Land Resource Inventory (NZLRI) is a national database of physical land resource information.,"['API', 'CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/1234,
Landcare Research,FSL South Island (all attributes),"The New Zealand Fundamental Soil Layer originates from a relational join of features from two databases: the New Zealand Land Resource Inventory (NZLRI), and the National Soils Database (NSD).","['API', 'CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/1258,
Land Information New Zealand,NZ SPI Adjustments,This layer provides the extents of the data incorporated into an adjustment which has been completed as part of the Spatial Parcel Improvement (SPI) project.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1354,
Land Information New Zealand,"NZ Rock Points (Topo, 1:500k)",An isolated rock or rock formation between high and low tides.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1378,
Land Information New Zealand,"NZ Building Points (Topo, 1:50k)",A relatively permanent walled and roofed construction.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1402,
Land Information New Zealand,"NZ River Polygons (Topo, 1:50k)","A natural, flowing body of water emptying into an ocean, lake or other body of water and usually fed along it's course by converging tributaries.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1426,
Land Information New Zealand,"ENC Index (Hydro, 4k - 1:1,350k)",ENC index layer compiled from M_NPUB S-57 features.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1450,
Land Information New Zealand,"Depth area polygon (Hydro, 1:22k - 1:90k)",A depth area is a water area whose depth is within a defined range of values.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1474,
Land Information New Zealand,"Daymark points (Hydro, 1:4k - 1:22k)",The identifying characteristics of an aid to navigation which serve to facilitate its recognition against a daylight viewing background.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1498,
Land Information New Zealand,"Buoy, safe water points (Hydro, 1:4k - 1:22k)","A buoy is a floating object moored to the bottom in a particular place, as an aid to navigation or for other specific purposes.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1522,
Land Information New Zealand,"Caution area  polygon (Hydro, 1:22k - 1:90k)","Generally, an area where the mariner has to be made aware of circumstances influencing the safety of navigation.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1546,
Land Information New Zealand,"Topmark points (Hydro, 1:22k - 1:90k)",A characteristic shape secured at the top of a buoy or beacon to aid in its identification.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1570,
Land Information New Zealand,"Crane points (Hydro, 1:4k - 1:22k)","A machine for lifting, shifting and lowering objects or materials by means of a swinging boom or with a lifting apparatus supported on an overhead track.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1594,
Land Information New Zealand,"Marine farm/culture points (Hydro, 1:4k - 1:22k)","An assemblage of cages, nets, rafts and floats or posts where fish, including shellfish, are artificially cultivated.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1618,
Land Information New Zealand,"Pylon/bridge support points (Hydro, 1:4k - 1:22k)","A vertical construction consisting, for example, of a steel framework or pre-stressed concrete to carry cables, a bridge, etc.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1642,
Land Information New Zealand,"Sloping ground points (Hydro, 1:22k - 1:90k)",An inclined surface.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1666,
Land Information New Zealand,"Recommended track polyline (Hydro, 1:4k - 1:22k)",A track recommended to all or only certain vessels.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1690,
Land Information New Zealand,"Marine farm/culture polygon (Hydro, 1:22k - 1:90k)","An assemblage of cages, nets, rafts and floats or posts where fish, including shellfish, are artificially cultivated.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1714,
Land Information New Zealand,"Quality of data polygon (Hydro, 1:22k - 1:90k)",An area within which a uniform assessment of the quality of the data exists.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1738,
Land Information New Zealand,"Beacon, lateral points (Hydro, 1:90k - 1:350k)",A beacon is a prominent specially constructed object forming a conspicuous mark as a fixed aid to navigation or for use in hydrographic survey.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1762,
Land Information New Zealand,"NZ Mine Polygons (Topo, 1:50k)",An excavation in the Earth for the purpose of extracting minerals.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1786,
Land Information New Zealand,"NZ Dredge Points (Topo, 1:50k)",Apparatus for clearing out mud etc from river or sea bottom.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1810,
Land Information New Zealand,"NZ Water Race Centrelines (Topo, 1:250k)","A man-made water channel, often running parallel to the contours, built specifically for the distribution of water to crops, pasture, mining activities etc Data Dictionary for water_race_cl: apps.linz.govt.nz/topo-data-dictionary/index.aspx?...[http://apps.linz.govt.nz/topo-data-dictionary/index.aspx?page=class-water_race_cl] This layer is a component of the Topo250 map series.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1834,
Land Information New Zealand,"NZ Pa Points (Topo, 1:50k)",Defensive earthworks constructed by Maori at any time between the fifteenth and nineteenth centuries which were still visible as a topographical object at the time the first edition of the map was published.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1858,
Land Information New Zealand,"Runway polygon (Hydro, 1:90k - 1:350k)","A defined rectangular area, on a land aerodrome, prepared for the landing and take-off run of aircraft along its length.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1882,
Land Information New Zealand,"NZ Cemetery Polygons (Topo, 1:50k)",A place for burying the dead.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1906,
Land Information New Zealand,"Seabed area polygon (Hydro, 1:90k - 1:350k)",An area of the sea where the nature of bottom is homogeneous.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1930,
Land Information New Zealand,"Water turbulence points (Hydro, 1:90k - 1:350k)","The disturbance of water caused by the interaction of any combination of waves, currents, tidal streams, wind, shoal patches and obstructions.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1954,
Land Information New Zealand,"Built-up area points (Hydro, 1:90k - 1:350k)",An area containing a concentration of buildings and the supporting road or rail infrastructure.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1978,
Land Information New Zealand,"NZ Chatham Is Racetrack Centrelines (Topo, 1:50k)",A course laid out for racing Data Dictionary for racetrack_cl: apps.linz.govt.nz/topo-data-dictionary/index.aspx?...[http://apps.linz.govt.nz/topo-data-dictionary/index.aspx?page=class-racetrack_cl] This layer is a component of the Topo50 map series.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2002,
Land Information New Zealand,"NZ Chatham Is River Centrelines (Topo, 1:50k)","A natural, flowing body of water emptying into an ocean, lake or other body of water and usually fed along it's course by converging tributaries.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2026,
Land Information New Zealand,"NZ Chatham Is Airport Points (Topo, 1:250k)","A facility where aircraft can take off and land; usually consists of hard-surfaced landing strips, a control tower, hangars and accommodation for passengers and cargo Data Dictionary for airport_pnt: apps.linz.govt.nz/topo-data-dictionary/index.aspx?...[http://apps.linz.govt.nz/topo-data-dictionary/index.aspx?page=class-airport_pnt] This layer is a component of the Topo250 map series.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2050,
Land Information New Zealand,"NZ Mainland boom centerlines (Topo, 1:250k)","boom_cl: (Detail, quantity, and accuracy of the feature is such that it is suitable for use at a scale of 1:250,000) Entity description: Floating barrier across a river or harbour mouth.","['API', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/2074,
Porirua City Council,Porirua City Public Halls,Porirua City Council Public Halls.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2098,
Ministry for the Environment (MfE),Marine Environment Classification EEZ 40 Classes (2010),"The Marine Environment Classification (MEC), a GIS-based environmental classification of the marine environment of the New Zealand region, is an ecosystem-based spatial framework designed for marine management purposes.","['API', 'CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/2122,
University of Otago - National School of Surveying,22 Timaru 15m DEM (NZSoSDEM v1.0),"NZSoSDEM v1.0 is a Digital Elevation Model (DEM) covering the whole of New Zealand at a spatial resolution of 15m, created by the School of Surveying by interpolating LINZ topographic vector data.","['API', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2146,
University of Otago - National School of Surveying,24 Dusky Sound 15m DEM (NZSoSDEM v1.0),"NZDEM_SoS_v1.0 is a Digital Elevation Model (DEM) covering the whole of New Zealand at a spatial resolution of 15m, created by the School of Surveying by interpolating LINZ topographic vector data.","['API', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2170,
Land Information New Zealand,"NZ Kermadec Is River Centrelines (Topo, 1:25k)","A natural, flowing body of water emptying into an ocean, lake or other body of water and usually fed along it's course by converging tributaries.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2194,
Land Information New Zealand,"NZ Snares Island Descriptive Texts (Topo, 1:25k)",Descriptive text, object used to hold text.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2218
Land Information New Zealand,"NZ Auckland  Island Island Polygons (Topo, 1:50k)",Area of dry or relatively dry land surrounded by water or low wetland Data Dictionary for island_poly: apps.linz.govt.nz/topo-data-dictionary/index.aspx?...[http://apps.linz.govt.nz/topo-data-dictionary/index.aspx?page=class-island_poly] This layer is a component of the Topo50 map series.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2242,
Land Information New Zealand,"NZ Antipodes Island Descriptive Texts (Topo, 1:25k)",Descriptive text, object used to hold text.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2266
Land Information New Zealand,NZ Orthophotos 1994-1995,"LINZ publishes 1:25,000 scale orthophotos of New Zealand from its archive.","['API', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2314,
Landcare Research,GDM - Trees and Shrubs - Underlying Data: vpdtran,This layer provides a transformation of environmental layer to best predict tree and shrub compositional turnover.,"['API', 'Other Geo']",https://data.govt.nz/dataset/show/2338,
Landcare Research,GDM - All Plants - Underlying Data: tmintran,This layer provides a transformation of environmental layer to best predict plant compositional turnover.,"['API', 'Other Geo']",https://data.govt.nz/dataset/show/2362,
Land Information New Zealand,"Local magnetic anomaly polygons (Hydro, 1:4k - 1:22k)","An anomaly of the magnetic field of the Earth, extending over a relatively small area, due to local magnetic influences.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2506,
Land Information New Zealand,"NZ Ross Dependency Ice Stream Centrelines (ANT, 1:50k)","Ice stream; a current of ice in an ice sheet or ice cap that flows more rapidly than the surrounding ice,usually flowing to the ocean or to an ice shelf and not constrained by exposed rock.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2674,
Land Information New Zealand,"NZ Ross Dependency Mast Points (ANT, 1:50k)",A vertical pole serving as an antenna or antenna support.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2698,
NZ Transport Agency,"NZTA State Highway 2008-2009 Aerial Imagery, 0.15m",Orthophotography flown for NZTA roads between 09/11/2008 and 24/03/2009.,"['KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2722,
Land Information New Zealand,"Tideway polygon (Hydro, 1:90k - 1:350k)",A natural water course in intertidal areas where water flows during the ebb or flow.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2746,
Land Information New Zealand,Chart NZ 286 Auckland Islands,Raster chart image of: NZ 286 Auckland Islands This data was compiled for the use at the following scale: 1:150000 File reference: NZ28601 THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.,"['API', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2770,
Land Information New Zealand,Chart NZ 14906 Cape Hallett: Seabee Hook,Raster chart image of: NZ 14906 Cape Hallett: Seabee Hook This data was compiled for the use at the following scale: 1:15000 File reference: NZ1490603 THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.,"['API', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2794,
Land Information New Zealand,Chart NZ 8275 Approaches to Nuku'alofa Harbour,Raster chart image of: NZ 8275 Approaches to Nuku'alofa Harbour This data was compiled for the use at the following scale: 1:30000 File reference: A08275 THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.,"['API', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/2818,
Land Information New Zealand,Chart NZ 5113 Rangaunu Bay and Awanui River Approaches,Raster chart image of: NZ 5113 Rangaunu Bay and Awanui River Approaches This data was compiled for the use at the following scale: 1:50000 File reference: NZ511302 THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.,"['API', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2842,
Land Information New Zealand,Chart NZ 5212 Plans between Whangamumu and Omaha Cove: Tutukaka Harbour,Raster chart image of: NZ 5212 Plans between Whangamumu and Omaha Cove: Tutukaka Harbour This data was compiled for the use at the following scale: 1:12000 File reference: NZ521203 THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.,"['API', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2866,
Land Information New Zealand,Chart NZ 8238 Approaches to Lifuka: Ava Limu Moto Entrance,Raster chart image of: NZ 8238 Approaches to Lifuka: Ava Limu Moto Entrance This data was compiled for the use at the following scale: 1:8000 File reference: NZ823802 THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.,"['API', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2890,
Land Information New Zealand,Chart NZ 2681 Plans in the Chatham Islands: Port Hutt,Raster chart image of: NZ 2681 Plans in the Chatham Islands: Port Hutt This data was compiled for the use at the following scale: 1:24000 File reference: NZ268102 THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.,"['API', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/2914,
Land Information New Zealand,Chart NZ 4314 Manukau Harbour,Raster chart image of: NZ 4314 Manukau Harbour This data was compiled for the use at the following scale: 1:48000 File reference: NZ4314 THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.,"['API', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2938,
Land Information New Zealand,Chart NZ 4212 Hokianga Harbour N,Raster chart image of: NZ 4212 Hokianga Harbour N This data was compiled for the use at the following scale: 1:40000 File reference: NZ421202 THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.,"['API', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2962,
Land Information New Zealand,Chart NZ 14612 Chatham Islands to Pacific - Antarctic Rise,Raster chart image of: NZ 14612 Chatham Islands to Pacific - Antarctic Rise This data was compiled for the use at the following scale: 1:3500000 File reference: NZ1461201 THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.,"['API', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2986,
Land Information New Zealand,Chart NZ 614 Port Motueka,Raster chart image of: NZ 614 Port Motueka This data was compiled for the use at the following scale: 1:20000 File reference: NZ61402 THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.,"['API', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3010,
Land Information New Zealand,Chart NZ 615 Marlborough Sounds,Raster chart image of: NZ 615 Marlborough Sounds This data was compiled for the use at the following scale: 1:100000 File reference: NZ61501 THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.,"['API', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3034,
Land Information New Zealand,Chart NZ 4631 Rauoterangi Channel and Kapiti Island,Raster chart image of: NZ 4631 Rauoterangi Channel and Kapiti Island This data was compiled for the use at the following scale: 1:27000 File reference: NZ463101 THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.,"['API', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3058,
Land Information New Zealand,NZ Coastlines and Islands Polygons (Topo 1:500k),This provides a polygon coastline and islands layer which is based on the Topo500 products.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3154,
Land Information New Zealand,"Signal station, warning points (Hydro, 1:22k - 1:90k)",A signal station is a place on shore from which signals are made to ships at sea.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3178,
Land Information New Zealand,"Landmark points (Hydro, 1:1.5mil and smaller)",A prominent object at a fixed location which can be used in determining a location or a direction.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3202,
Land Information New Zealand,"Sounding points (Hydro, 1:1.5mil and smaller)",A measured water depth or spot which has been reduced to a vertical datum (may be a drying height).,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3226,
Land Information New Zealand,"Radar transponder beacon points (Hydro, 1:90k - 1:350k)","A transponder beacon transmitting a coded signal on radar frequency, permitting an interrogating craft to determine the bearing and range of the transponder.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3370,
Land Information New Zealand,Marlborough 1m Rural Aerial Photos (2002),Orthophotography for the Marlborough region taken during 2002.,"['KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3538,
Land Information New Zealand,Marlborough 0.4m Rural Aerial Photos Index Tiles (2008),"Index Tiles ONLY, for actual orthophotos see layer Marlborough 0.4m Rural Aerial Photos (2008)[http://data.linz.govt.nz/layer/1874] Orthophotography for the Marlborough region taken during 2008.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3562,
Land Information New Zealand,Tasman 0.5m Rural Aerial Photos (2009-2010),Orthophotography for the Tasman region taken in the flying season (summer period) of 2009-2010.,"['KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3586,
Land Information New Zealand,Canterbury 0.75m Rural Aerial Photos Index Tiles (2004-2010),"Index Tiles ONLY, for actual orthophotos see layer Canterbury 0.75m Rural Aerial Photos (2004-2010)[http://data.linz.govt.nz/layer/1933] Orthophotography for the Canterbury region taken between April 2004 and March 2010.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3610,
Landcare Research,Land Cover Database - LCDB v4.0 Change,"This data set (LCDB v4.0 Change) allows users to track changes back to earlier versions, and to reconcile derived quantities, such as the total area of a class in a region, to those derived from earlier LCDB versions.","['API', 'CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/3634,
