Organisation,Sector,Common name,Postal address,Physical address,Generic Email,Generic Phone,Generic Fax,CE personal title,CE first name,CE surname,CE name suffix,CE greeting name,Mayor personal title,Mayor first name,Mayor surname,Mayor name suffix,Mayor greeting name,Chair personal title,Chair first name,Chair surname,Chair name suffix,Chair greeting name
New Zealand Symphony Orchestra,"Autonomous crown entities
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",New Zealand Symphony Orchestra,"PO Box 6640 
Wellington 6141","Level 8 Alcatel-Lucent House 
13-27 Manners Street 
Wellington 6011",	info@nzso.co.nz,"+64 4 801 3890
0800 479 674",+64 4 801 3851,,Chris,Blake,,Chris Blake,,,,, ,,Donald,Best,,Donald Best
New Zealand Tourism Board,"Crown agents
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",New Zealand Tourism Board,"PO Box 95 
Wellington 6140","Level 22 Vodafone House 
157 Lambton Quay 
Wellington 6140",,+64 4 462 8000,+64 4 917 5495,,Kevin,Bowler,,Kevin Bowler,,,,, ,,,,, 
New Zealand Trade and Enterprise,"Crown agents
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",New Zealand Trade and Enterprise,"PO Box 2878 
Wellington 6140","Level 15 The Majestic Centre 
100 Willis St 
Wellington 6011",info@nzte.govt.nz,"+64 4 816 8100
0800 555 888",+64 4 816 8101,,Peter,Chrisp,,Peter Chrisp,,,,, ,,,,, 
New Zealand Transport Agency,"Crown agents
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",New Zealand Transport Agency,"Private Bag 6995 
Wellington 6141","Victoria Arcade 
50 Victoria Street 
Wellington 6141",info@nzta.govt.nz,+64 4 894 5400,+64 4 894 6100,,Fergus,Gammie,,Fergus Gammie,,,,, ,,,,, 
New Zealand Walking Access Commission,"Crown agents
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",New Zealand Walking Access Commission,"PO Box 12348 
Thorndon 
Wellington 6144","Level 6 Revera House 
48 Mulgrave Street 
Thorndon 
Wellington 6011",contact@walkingaccess.govt.nz,+ 64 4 8158 502,+ 64 4 8158 516,,Eric,Pyle,,Eric Pyle,,,,, ,,John,Forbes,,John Forbes
Ngāi Tahu Ancillary Claims Trust,"Trusts
    -> Public Finance Act Schedule 4 organisations
        -> State Services
            -> Public Sector",Ngāi Tahu Ancillary Claims Trust,"PO Box 2200 
Christchurch","76 Peterborough Street 
Christchurch",mlctewaipounamu@justice.govt.nz,+64 3 962 4900,,,,,, ,,,,, ,,,,, 
Northland District Health Board,"District Health Boards
    -> Crown agents
        -> Statutory entities
            -> Crown entities
                -> State Services
                    -> Public Sector",Northland District Health Board,"Private Bag 9742 
Whangarei 0148","Maunu House 
Maunu Road 
Whangarei 0148",,+64 9  470 0000 , +64 9 470 0001,,Nick ,Chamberlain,,Nick  Chamberlain,,,,, ,,Anthony ,Norman,,Anthony  Norman
Northland Regional Council,"Regional Council
    -> Local Authority
        -> Public Sector",Northland Regional Council,"Private Bag 9021 
Whāngārei Mail Centre 
Whāngārei 0148","36 Water Street 
Whāngārei",mailroom@nrc.govt.nz,"+64 9 470 1200
0800 002 004",+64 9 470 1202,,Malcolm,Nicolson,,Malcolm Nicolson,,,,, ,,Bill,Shepherd,,Bill Shepherd
Office for Disability Issues,"Public Service
    -> State Services
        -> Public Sector",Office for Disability Issues,"PO Box 1556 
Wellington     ","Bowen State Building 
Bowen Street 
Wellington 6140",odi@msd.govt.nz,+64 4 916 3300,,,,,, ,,,,, ,,,,, 
Office for Seniors,"Public Service
    -> State Services
        -> Public Sector",Office for Seniors,"PO Box 1556 
Wellington 6140","Bowen State Building 
Bowen Street 
Wellington 6145",osc@msd.govt.nz,,,,,,, ,,,,, ,,,,, 
Office of Film and Literature Classification,"Independent crown entities
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",Office of Film and Literature Classification,"PO Box 1999 
Wellington 6140","Level 1 
88 The Terrace 
Wellington 6011",info@classificationoffice.govt.nz,"+64 4 471 6770
0508 236 767",,Dr,Andrew,Jack,,Dr Jack,,,,, ,,,,, 
Office of Human Rights Proceedings,"Independent crown entities
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",Office of Human Rights Proceedings,"PO Box 6751
Wellesley Street 
Auckland 1141","Level 3 
21 Queen Street 
Auckland    ",ohrp@ohrp.org.nz,+64 9 375 8623,+64 9 375 8641,,Robert ,Kee,,Robert  Kee,,,,, ,,,,, 
Office of Treaty Settlements,"Public Service
    -> State Services
        -> Public Sector",Office of Treaty Settlements,"DX SX10111 
Wellington    ","Level 3 The Justice Centre 
  19 Aitken Street 
Wellington 6011",reception.OTS@justice.govt.nz,+64 4 918 8800,+64 4 918 8820,,,,, ,,,,, ,,,,, 
Opotiki District Council,"District Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",Opotiki District Council,"PO Box 44 
Opotiki 3162","108 St John Street 
Opotiki     ",info@odc.govt.nz,+64 7 315 3030,+64 7 315 7050,,Aileen,Lawrie,,Aileen Lawrie,,John,Forbes,,John Forbes,,,,, 
Otago Regional Council,"Regional Council
    -> Local Authority
        -> Public Sector",Otago Regional Council,"Private Bag 1954 
Dunedin 9054","70 Stafford Street 
Dunedin    ",info@orc.govt.nz,"+64 3 474 0827
0800 474 082",+64 3 479 0015,,Peter,Bodeker,,Peter Bodeker,,,,, ,,Stephen ,Woodhead,,Stephen  Woodhead
Otorohanga District Council,"District Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",Otorohanga District Council,"PO Box 11 
Otorohanga  3940","17 Maniapoto Street 
Otorohanga  3900",info@otodc.govt.nz,+64 7 873 4000,+64 7 873 4300,,Dave,Clibbery,,Dave Clibbery,,Max,Baxter,,Max Baxter,,,,, 
Overseas Investment Office,"Public Service
    -> State Services
        -> Public Sector",Overseas Investment Office,"PO Box 5501 
Wellington    ","Level 7 Radio New Zealand House 
155 The Terrace 
Wellington    ",oio@linz.govt.nz,+64 4 462 4490,,,,,, ,,,,, ,,,,, 
Pacific Co-operation Foundation,"Trusts
    -> Public Finance Act Schedule 4 organisations
        -> State Services
            -> Public Sector",Pacific Cooperation Foundation,"PO Box 74084 
Greenlane 
Auckland 1546","Level 2 
139 Quay Street 
Auckland     ",info@pcf.org.nz,+64 9 969 1494,+64 9 969 1495,,Mac,Leauanae,,Mac Leauanae,,,,, ,,Peter,Kiely,,Peter Kiely
Pacific Island Business Development Trust,"Trusts
    -> Public Finance Act Schedule 4 organisations
        -> State Services
            -> Public Sector",Pacific Business Trust,"PO Box 23696 
Hunters Corner 
Manukau 2155","733 Great South Road 
Otahuhu 
Auckland 1062",info@pacificbusiness.co.nz,"+64 9 270 1003
0800 287 7526",+64 9 270 1004,,Rob,Neru,,Rob Neru,,,,, ,,Poalaga,Selma Scott,,Poalaga Selma Scott
Palmerston North City Council,"City Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",Palmerston North City Council,"Private Bag 11034 
Manawatu Mail Centre 
Palmerston North 4442","Civic Administration Building 
32 The Square 
Palmerston North 4410",info@pncc.govt.nz,+64 6 356 8199,+64 6 351 4311,,Paddy,Clifford,,Paddy Clifford,,Grant,Smith,,Grant Smith,,,,, 
Personal Property Securities Register,"Public Service
    -> State Services
        -> Public Sector",Personal Property Securities Register,,"15 Stout Street 
Wellington 6011",info@ppsr.govt.nz,0508 777 746,,,,,, ,,,,, ,,,,, 
Pharmaceutical Management Agency,"Crown agents
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",Pharmaceutical Management Agency,"PO Box 10254
The Terrace 
Wellington 6143","Level 9 Simpl House 
40 Mercer Street 
Wellington 6011",enquiry@pharmac.govt.nz,"+64 4 460 4990
0800 660 050",+64 4 460 4995,,Steffan,Crausaz ,,Steffan Crausaz ,,,,, ,,Stuart,McLauchlan,,Stuart McLauchlan
Porirua City Council,"City Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",Porirua City Council,"PO Box 50218 
Porirua 5240","Administration Building 
16 Cobham Court 
Porirua 5240",enquiries@pcc.govt.nz,+64 4 237 5089,+64 4 237 6384,,Wendy,Walker,,Wendy Walker,,Mike,Tana,,Mike Tana,,,,, 
Privacy Commissioner,"Independent crown entities
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",Privacy Commissioner,"PO Box 10-094 
The Terrace 
Wellington 6143","Level 8 
109-111 Featherston Street 
Wellington 6143",enquiries@privacy.org.nz,"+64 4 474 7590
0800 803 909",+64 4 474 7595,,Gary,Bulog,,Gary Bulog,,,,, ,,,,, 
Public Trust,"Autonomous crown entities
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",Public Trust,"PO Box 30 743 
Lower Hutt 5040","Ground Floor                                                                                                                 
40-42 Queens Drive 
Lower Hutt 5010",info@publictrust.co.nz,"+64 3 977 7956
0800 371 471",+64 3 977 7901,,Bob,Smith,,Bob Smith,,,,, ,,,,, 
Queenstown-Lakes District Council,"District Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",Queenstown-Lakes District Council,"Private Bag 50072 
Queenstown 9348","10 Gorge Road 
Queenstown    ",services@qldc.govt.nz,+64 3 441 0499,,,Adam,Feeley,,Adam Feeley,,Jim,Boult,,Jim Boult,,,,, 
Radio Spectrum Management,"Public Service
    -> State Services
        -> Public Sector",Radio Spectrum Management,"PO Box 2847 
Wellington 6140","15 Stout Street 
Wellington 6011",info@rsm.govt.nz,"+64 3 962 2603
0508 776 463",+64 4 978 3162,,,,, ,,,,, ,,,,, 
Rangitikei District Council,"District Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",Rangitikei District Council,"Private Bag 1102 
Marton 4741","46 High Street 
Marton    ",info@rangitikei.govt.nz,"+64 6 327 0099
0800 422 522",+64 6 327 6970,,Ross,McNeil,,Ross McNeil,,Andy,Watson,,Andy Watson,,,,, 
Real Estate Agents Authority,"Crown agents
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",Real Estate Agents Authority,"PO Box 25371 
Featherston Street 
Wellington 6146","Level 2 
10 Brandon Street 
Wellington 6146",info@reaa.govt.nz,"+64 4 471 8930
0800 367 7322",+64 4 815 8468,,Kevin,Lampen-Smith,,Kevin Lampen-Smith,,,,, ,,John,Auld,,John Auld
Registrar of Unions,"Public Service
    -> State Services
        -> Public Sector",Registrar of Unions,,"15 Stout Street 
Wellington 6011",,+64 4 915 4500,+64 4 915 4567,,,,, ,,,,, ,,,,, 
Research and Education Advanced Network New Zealand Limited,"Public Finance Act Schedule 4a companies
    -> State Services
        -> Public Sector",REANNZ,"PO Box 3325
 
Wellington 6140","Level 1 Qual IT House 
22 The Terrace 
Wellington 6011",info@reannz.co.nz,+64 4 913 1090,+64 4 916 0064,,Nicole,Ferguson,,Nicole Ferguson,,,,, ,,Jim,Donovan,,Jim Donovan
Reserve Bank of New Zealand,"State Services
    -> Public Sector",Reserve Bank of New Zealand,"PO Box 2498 
Wellington 6140","Reserve Bank Building 
2 The Terrace 
Wellington 6140",rbnz-info@rbnz.govt.nz,+64 4 472 2029,+64 4 473 8554,,Graeme,Wheeler,,Graeme Wheeler,,,,, ,,Rod,Carr,,Rod Carr
Resolution Services,"Public Service
    -> State Services
        -> Public Sector",Resolution Services,,"15 Stout Street 
Wellington 6011",,0800 20 90 20,,,,,, ,,,,, ,,,,, 
Rotorua District Council,"District Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",Rotorua Lakes Council,"Private Bag 3029 
Rotorua Mail Centre 
Rotorua 3046","Civic Centre 
1061 Haupapa Street 
Rotorua    ",info@rotorualc.nz ,+64 7 348 4199,+64 7 346 3143,,Geoff,Williams,,Geoff Williams,,Steve,Chadwick,,Steve Chadwick,,,,, 
Ruapehu District Council,"District Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",Ruapehu District Council,"Private Bag 1001 
Taumarunui 3946","59-63 Huia Street 
Taumarunui 3920",info@ruapehudc.govt.nz,+64 7 895 8188,+64 7 895 3256,,Clive ,Manley,,Clive  Manley,,Don,Cameron,,Don Cameron,,,,, 
Selwyn District Council,"District Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",Selwyn District Council,"PO Box 90 
Rolleston 7643","2 Norman Kirk Drive 
Rolleston 7614   ",admin@selwyn.govt.nz,+64 3 347 2800,+64 3 347 2799,,David,Ward,,David Ward,,Sam,Broughton,,Sam Broughton,,,,, 
Senior Services,"Public Service
    -> State Services
        -> Public Sector",Senior Services,"PO Box 5054 
Wellington 6145","Level 2 Bowen State Building 
Bowen Street 
Wellington 6011",seniors@msd.govt.nz,"+64 9 583 9909
0800 552 002",,,,,, ,,,,, ,,,,, 
Serious Fraud Office,"Public Service
    -> State Services
        -> Public Sector",Serious Fraud Office,"PO Box 7124 
Wellesley Street 
Auckland 1141","Level 6 
21 Queen Street 
Auckland Central 
Auckland 1010",enquiries@sfo.govt.nz,"+64 9 303 0121
0800 109 800",+64 9 303 0142,,Julie,Read,,Julie Read,,,,, ,,,,, 
Social Policy Evaluation and Research Unit - Superu,"Autonomous crown entities
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",Social Policy Evaluation and Research Unit - Superu,"PO Box 2839 
Wellington 6140","Level 7 
110 Featherston Street 
Wellington 6011",enquiries@superu.govt.nz,+64 4 917 7040,+64 4 917 7059,,Clare,Ward,,Clare Ward,,,,, ,,Len,Cook,,Len Cook
Social Workers Registration Board,"Crown agents
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",Social Workers Registration Board,"PO Box 3452  
Wellington Central 
Wellington 6140","Level 6 
11 Chews Lane 
Wellington 6011",info@swrb.govt.nz,"+64 4 931 2650
0508 797 269",+64 4 931 2651,,Sean,McKinley,,Sean McKinley,,,,, ,,Shayne,Walker,,Shayne Walker
South Canterbury District Health Board,"District Health Boards
    -> Crown agents
        -> Statutory entities
            -> Crown entities
                -> State Services
                    -> Public Sector",South Canterbury District Health Board,"Private Bag 911
High Street 
Timaru    ","Corner of Queen and High Street 
Timaru 7940",ceo@scdhb.health.nz,+64 3 687 2100 (Timaru Hospital main switchboard),+64 3 688 0238,,Nigel,Trainor,,Nigel Trainor,,,,, ,,Murray,Cleverley,,Murray Cleverley
South Taranaki District Council,"District Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",South Taranaki District Council,"Private Bag 902 
Hawera 4640","105 - 111 Albion Street 
Hawera 4610",contact@stdc.govt.nz,"+64 6 278 0555
0800 111 323",+64 6 278 8757,,Craig,Stevenson,,Craig Stevenson,,Ross,Dunlop,,Ross Dunlop,,,,, 
South Waikato District Council,"District Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",South Waikato District Council,"Private bag 7 
Tokoroa 3444","Torphin Crescent 
Tokoroa 3444",info@southwaikato.govt.nz,+64 7 885 0340,+64 7 885 0718,,Craig,Hobbs,,Craig Hobbs,,Jenny,Shattock,,Jenny Shattock,,,,, 
South Wairarapa District Council,"District Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",South Wairarapa District Council,"PO Box 6 
Martinborough 5741","19 Kitchener Street 
Martinborough 5711",enquiries@swdc.govt.nz,+64 6 306 9611,+64 6 306 9373,,Paul,Crimp,,Paul Crimp,,Viv ,Napier,,Viv  Napier,,,,, 
Southern District Health Board,"District Health Boards
    -> Crown agents
        -> Statutory entities
            -> Crown entities
                -> State Services
                    -> Public Sector",Southern District Health Board,"Private Bag 1921 
Dunedin 9054","Dunedin Hospital 
201 Great King Street 
Dunedin     ",contactus@southerndhb.govt.nz,+64 3 474 0999,+64 3 474 7025,,Carole,Heatly,,Carole Heatly,,,,, ,,Kathy ,Grant,,Kathy  Grant
Southern Response Earthquake Services Limited,"Public Finance Act Schedule 4a companies
    -> State Services
        -> Public Sector",Southern Response Earthquake Services Limited,"PO Box 9052 
Tower Junction 
Christchurch 8149","Addington 
Christchurch",claims@southernresponse.co.nz,0800 501 525,,,Peter,Rose,,Peter Rose,,,,, ,,Ross,Butler,,Ross Butler
Southland District Council,"District Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",Southland District Council,"PO Box 903 
Invercargill 9840","15 Forth Street 
Invercargill 9810",emailsdc@southlanddc.govt.nz,"+64 3 211 2500
0800 732 732",0800 732 329,,Steve,Ruru,,Steve Ruru,,Gary,Tong,,Gary Tong,,,,, 
Southland Regional Council,"Regional Council
    -> Local Authority
        -> Public Sector",Southland Regional Council,"Private Bag 90116 
Invercargill 9840","Corner of North Road and Price Street 
Waikiwi 
Invercargill 9810",service@es.govt.nz,"+64 3 211 5115
0800 76 88 45",+64 3 211 5252,,,,, ,,,,, ,,Ali,Timms,,Ali Timms
Sport New Zealand,"Crown agents
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",Sport New Zealand,"PO Box 2251 
Wellington 6140","Ground floor, AMP Building 
86 Customhouse Quay 
Wellington 6011",,+64 4 472 8058,+64 4 471 0813,,Peter,Miskimmin,,Peter Miskimmin,,,,, ,Sir,Paul,Collins,,Sir Collins
State Housing Appeals Authority,"Public Service
    -> State Services
        -> Public Sector",State Housing Appeals Authority,"PO Box 50394 
Porirua",,,0800 223 022,+64 4 237 0850,,,,, ,,,,, ,,,,, 
State Services Commission,"Public Service
    -> State Services
        -> Public Sector",State Services Commission,"PO Box 329 
Wellington 6140","Level 10 Reserve Bank Building 
No.2 The Terrace 
Wellington    ",commission@ssc.govt.nz,+64 4 495 6600,+64 4 495 6686,,Peter ,Hughes,,Peter  Hughes,,,,, ,,,,, 
Statistics New Zealand,"Public Service
    -> State Services
        -> Public Sector",Statistics New Zealand,"PO Box 2922 
Wellington 6140","Statistics House 
The Boulevard 
Harbour Quays 
Wellington",info@stats.govt.nz,"+64 4 931 4600
0508 525 525",+64 4 931 4049,,Liz,MacPherson,,Liz MacPherson,,,,, ,,,,, 
Stratford District Council,"District Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",Stratford District Council,"PO Box 320 
Stratford 4352","61-63 Miranda Street 
Stratford    ",stratforddc@stratford.govt.nz,+64 6 765 6099,+64 6 765 7500,,Matt,O'Mara,,Matt O'Mara,,Neil,Volzke,,Neil Volzke,,,,, 
StudyLink,"Public Service
    -> State Services
        -> Public Sector",StudyLink,"StudyLink Student Support Centre
Private Bag 11070 
Palmerston North 4442","Bowen State Building 
Bowen Street 
Wellington 6011",,"+64 4 917 3107
0800 88 99 00",0800 88 33 88,,,,, ,,,,, ,,,,, 
Supreme Court of New Zealand,"Public Service
    -> State Services
        -> Public Sector",Supreme Court of New Zealand,,"85 Lambton Quay 
Wellington 6011",supremecourt@justice.govt.nz,+64 4 918 8222,+64 4 914 3560,,,,, ,,,,, ,,,,, 
Tairāwhiti District Health Board,"District Health Boards
    -> Crown agents
        -> Statutory entities
            -> Crown entities
                -> State Services
                    -> Public Sector",Hauora Tairāwhiti ,"Private Bag 7001 
Gisborne 4040","Gisborne Hospital 
421 Ormond Road 
Gisborne 4040",,+64 6 869 0500,,,Jim,Green,,Jim Green,,,,, ,,David,Scott,,David Scott
Takeovers Panel,"Independent crown entities
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",Takeovers Panel,"PO Box 1171 
Wellington 6140","Level 3 Solnet House 
70 The Terrace 
Wellington 6011",takeovers.panel@takeovers.govt.nz,+64 4 815 8420,+64 4 815 8459,,Margaret ,Bearsley,,Margaret  Bearsley,,,,, ,,David,Jones,,David Jones
Taranaki District Health Board,"District Health Boards
    -> Crown agents
        -> Statutory entities
            -> Crown entities
                -> State Services
                    -> Public Sector",Taranaki District Health Board,"Private Bag 2016 
New Plymouth 4342","Taranaki Base Hospital 
23 David Street 
Westown 
New Plymouth 4310",corporate.contacts@tdhb.org.nz,+64 6 753 6139,+64 6 753 7710,,Rosemary,Clements,,Rosemary Clements,,,,, ,, Pauline, Lockett,, Pauline  Lockett
Taranaki Regional Council,"Regional Council
    -> Local Authority
        -> Public Sector",Taranaki Regional Council,"Private Bag 713 
Stratford 4352","47 Cloten Road 
Stratford 4332",info@trc.govt.nz,"+64 6 765 7127
0800 736 222",+64 6 765 5097,,Basil,Chamberlain,,Basil Chamberlain,,,,, ,,David,MacLeod,,David MacLeod
Tararua District Council,"District Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",Tararua District Council,"PO Box 115 
Dannevirke 4942","26 Gordon Street 
Dannevirke",info@tararuadc.govt.nz,+64 6 374 4080,+64 6 374 4137,,Blair,King,,Blair King,,Tracey,Collis,,Tracey Collis,,,,, 
Tasman District Council,"District Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",Tasman District Council,"Private Bag 4 
Richmond 
Nelson 7050","189 Queen Street 
Richmond 
Nelson 7050",info@tasman.govt.nz,+64 3 543 8400,+64 3 543 9524,,Lindsay,McKenzie,,Lindsay McKenzie,,Richard,Kempthorne,,Richard Kempthorne,,,,, 
Taupo District Council,"District Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",Taupo District Council,"Private Bag 2005 
Taupo 3352","72 Lake Terrace 
Taupo 3352",info@taupo.govt.nz ,"+64 7 376 0899
0800 275 832",+64 7 378 0118,,Gareth,Green,,Gareth Green,,David,Trewavas,,David Trewavas,,,,, 
Tauranga City Council,"City Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",Tauranga City Council,"Private Bag 12022 
Tauranga 3143","91  Willow Street 
Tauranga 3143",info@tauranga.govt.nz,+64 7 577 7000,+64 7 577 7193,,Garry ,Poole,,Garry  Poole,,Greg,Brownless,,Greg Brownless,,,,, 
Te Reo Whakapuaki Irirangi (Māori Broadcasting Funding Agency),"Autonomous crown entities
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",Te Māngai Pāho ,"PO Box 10-004 
The Terrace 
Wellington 6143","Level 2 Te Puni Kōkiri House 
143 Lambton Quay 
Wellington 6011",info@tmp.govt.nz,+64 4 915 0700,+64 4 915 0701,,John,Bishara,,John Bishara,,,,, ,Prof,Piri,Sciascia,,Prof Sciascia
Te Tumu Paeroa,"Other (bodies corporate)
    -> Public Finance Act Schedule 4 organisations
        -> State Services
            -> Public Sector",Te Tumu Paeroa,"PO Box 5038 
Wellington 6145","Level 3 Seabridge House 
110  Featherston Street 
Wellington 6011",contact@tetumupaeroa.co.nz,"+64 4 474 4600
0800 943 682",,,Jamie ,Tuuta,,Jamie  Tuuta,,,,, ,,,,, 
TeachNZ,"Public Service
    -> State Services
        -> Public Sector",TeachNZ,"PO Box 1666 
Wellington 6140","Level 1 Mātauranga House 
33 Bowen Street 
Wellington 6011",teachnz.admin@education.govt.nz,"+64 4 463 8456
0800 165 225",,,,,, ,,,,, ,,,,, 
Telarc SAI Limited,"Autonomous crown entities
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",Telarc SAI Limited,"Private Bag 28901 
Remuera 
Auckland 1541","626 Great South Road 
Ellerslie 
Auckland 1051",admin@telarc.co.nz,"+64 9 525 0100
0800 004 004",+64 9 525 1900,,Philip,Cryer,,Philip Cryer,,,,, ,,David ,Bone,,David  Bone
Tenancy Services,"Public Service
    -> State Services
        -> Public Sector",Tenancy Services,"PO Box 50-546 
Wellington 6143","15 Stout Street 
Wellington 6011",info@tenancy.govt.nz,"+64 4 238 4695
0800 836 262",+64 4 234 1058,,,,, ,,,,, ,,,,, 
Tertiary Education Commission,"Crown agents
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",Tertiary Education Commission,"PO Box 27-048 
Wellington 6141","Level 10 
44 The Terrace 
Wellington 6011",sectorhelpdesk@tec.govt.nz ,"+64 4 462 5201
0800 601 301",+64 4 462 5401,,Tim,Fowler,,Tim Fowler,,,,, ,,John,Spencer,,John Spencer
Thames-Coromandel District Council,"District Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",Thames-Coromandel District Council,"Private Bag 1001 
Thames 3540","515 Mackay Street 
Thames 3500",customer.services@tcdc.govt.nz,+64 7 868 0200,+64 7 868 0234,, David, Hammond,, David  Hammond,,Sandra,Goudie,,Sandra Goudie,,,,, 
The Office of Ethnic Communities,"Public Service
    -> State Services
        -> Public Sector",The Office of Ethnic Communities,"PO Box 805 
Wellington     ","46 Waring Taylor Street 
Wellington     ",ethnic.affairs@dia.govt.nz,+64 4 494 0546,,,,,, ,,,,, ,,,,, 
The Treasury,"Public Service
    -> State Services
        -> Public Sector",The Treasury,"PO Box 3724 
Wellington 6140","Level 5 
1 The Terrace 
Wellington   ",info@treasury.govt.nz,+64 4 472 2733,+64 4 473 0982,,Gabriel,Makhlouf,,Gabriel Makhlouf,,,,, ,,,,, 
Timaru District Council,"District Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",Timaru District Council,"PO Box 522 
Timaru 7940","2 King George Place 
Timaru 7910",enquiry@timdc.govt.nz,+64 3 687 7200,+64 3 687 7209,,Peter,Nixon,,Peter Nixon,,Damon,Odey,,Damon Odey,,,,, 
Trading Standards,"Public Service
    -> State Services
        -> Public Sector",Trading Standards,"PO Box 1473 
Wellington 6140","15 Stout Street 
Wellington 6011",tradingstandards@mbie.govt.nz,"+64 4 474 2750
0508 627 774",+64 4 494 0290,,,,, ,,,,, ,,,,, 
Transport Accident Investigation Commission,"Independent crown entities
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",Transport Accident Investigation Commission,"PO Box 10323 
Wellington Central 
Wellington 6143","Level 16 
80 The Terrace 
Wellington 6140",inquiries@taic.org.nz,+64 4 473 3112,+64 4 499 1510,,Lois,Hutchinson,,Lois Hutchinson,,,,, ,,Helen,Cull,,Helen Cull
Upper Hutt City Council,"City Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",Upper Hutt City Council,"Private Bag 907 
Upper Hutt 5140","Civic Administration Building 
838 - 842 Fergusson Drive 
Upper Hutt 5018",askus@uhcc.govt.nz,+64 4 527 2169,+64 4 528 2652,,Chris,Upton,,Chris Upton,,Wayne,Guppy,,Wayne Guppy,,,,, 
Valuers Registration Board,"Public Service
    -> State Services
        -> Public Sector",Valuers Registration Board,"PO Box 5501 
Wellington 6145",,customersupport@linz.govt.nz,"+64 4 460 0110
0800 665 463",+64 4 472 2244,,,,, ,,,,, ,,,,, 
Waikato District Council,"District Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",Waikato District Council,"Private Bag 544 
Ngaruawahia 3720","15 Galileo Street 
Ngaruawahia 3720",info@waidc.govt.nz,"+64 7 824 8633
0800 492 452",+64 7 824 8091,,Gavin,Ion,,Gavin Ion,,Allan,Sanson,,Allan Sanson,,,,, 
Waikato District Health Board,"District Health Boards
    -> Crown agents
        -> Statutory entities
            -> Crown entities
                -> State Services
                    -> Public Sector",Waikato District Health Board,"Prembroke Street
Private Bag 3200 
Hamilton 3240","Corner Selwyn and Pembroke Streets 
Hamilton West 
Hamilton 3204",info@waikatodhb.health.nz,+64 7 839 4679,+64 7 839 4327,Dr,Nigel,Murray,,Dr Murray,,,,, ,,Bob,Simcock,,Bob Simcock
Waikato Regional Council,"Regional Council
    -> Local Authority
        -> Public Sector",Waikato Regional Council,"Private Bag 3038 
Waikato Mail Centre 
Hamilton 3240","401 Grey Street 
Hamilton East 
Hamilton 3216",info@waikatoregion.govt.nz,"+64 7 859 0999
0800 800 401",+64 7 859 0998,,Vaughan,Payne,,Vaughan Payne,,,,, ,,Paula,Southgate,,Paula Southgate
Waimakariri District Council,"District Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",Waimakariri District Council,"Private bag 1005 
Rangiora 7440","215 High Street 
Rangiora 7400",office@wmk.govt.nz ,+64 3 311 8900,+64 3 313 4432,,Jim,Palmer,,Jim Palmer,,David,Ayers,,David Ayers,,,,, 
